sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-01-01_2026-03-31__hatoma-port__ishigaki-port__0945,10:35,635,09:45,585,48,50,鳩間港,yes,安栄観光,anei-kanko__鳩間→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__hatoma-port__ishigaki-port__1655,18:15,1095,16:55,1015,49,80,鳩間港,yes,安栄観光,anei-kanko__鳩間→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,上原経由,no,,
anei-kanko__2026-01-01_2026-03-31__kuroshima-port__ishigaki-port__0825,08:55,535,08:25,505,50,30,黒島港,yes,安栄観光,anei-kanko__黒島→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__kuroshima-port__ishigaki-port__1340,14:10,850,13:40,820,51,30,黒島港,yes,安栄観光,anei-kanko__黒島→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__kuroshima-port__ishigaki-port__1625,16:55,1015,16:25,985,52,30,黒島港,yes,安栄観光,anei-kanko__黒島→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,竹富経由,no,,
anei-kanko__2026-04-01_2026-05-10__kohama-port__ishigaki-port__0955,10:25,625,09:55,595,1,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__kohama-port__ishigaki-port__1140,12:10,730,11:40,700,2,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__kohama-port__ishigaki-port__1530,16:00,960,15:30,930,3,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__kohama-port__ishigaki-port__1700,17:30,1050,17:00,1020,4,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-04-01_2026-05-10__hateruma-port__ishigaki-port__0950,11:20,680,09:50,590,5,90,波照間港,yes,安栄観光,anei-kanko__波照間→石垣,2026年4月1日〜5月10日ダイヤ,,石垣港離島ターミナル,,no,,
